name,trait,arm,distance,condition,is_decision,trait_j_median_rank,trait_logit_median_rank,masked_len_tokens
Elias,loyal,direct,0,baseline,False,69.0,18.5,0
Elias,loyal,direct,0,trait_tok,False,259.0,86.0,1
Elias,loyal,direct,0,tracer_tok,False,60.5,17.5,1
Elias,loyal,direct,1,baseline,False,50.5,38.5,0
Elias,loyal,direct,1,trait_tok,False,451.5,168.0,1
Elias,loyal,direct,1,tracer_tok,False,58.0,36.0,1
Elias,loyal,direct,2,baseline,False,83.0,41.5,0
Elias,loyal,direct,2,trait_tok,False,431.5,155.5,1
Elias,loyal,direct,2,tracer_tok,False,86.5,40.5,1
Elias,loyal,direct,4,baseline,False,161.5,59.0,0
Elias,loyal,direct,4,trait_tok,False,388.0,215.5,1
Elias,loyal,direct,4,tracer_tok,False,138.5,50.5,1
Elias,loyal,direct,7,baseline,False,210.0,64.0,0
Elias,loyal,direct,7,trait_tok,False,388.0,215.0,1
Elias,loyal,direct,7,tracer_tok,False,191.0,60.0,1
Elias,loyal,direct,10,baseline,True,184.5,86.5,0
Elias,loyal,direct,10,trait_tok,True,397.5,216.0,1
Elias,loyal,direct,10,tracer_tok,True,167.5,89.0,1
Elias,loyal,direct,30,baseline,False,165.5,81.0,0
Elias,loyal,direct,30,trait_tok,False,340.5,185.5,1
Elias,loyal,direct,30,tracer_tok,False,161.0,84.5,1
Maria,generous,direct,0,baseline,False,3.0,30.0,0
Maria,generous,direct,0,trait_tok,False,29.0,103.5,1
Maria,generous,direct,0,tracer_tok,False,3.5,36.5,1
Maria,generous,direct,1,baseline,False,4.5,46.0,0
Maria,generous,direct,1,trait_tok,False,170.5,250.5,1
Maria,generous,direct,1,tracer_tok,False,5.5,51.5,1
Maria,generous,direct,2,baseline,False,3.5,50.5,0
Maria,generous,direct,2,trait_tok,False,152.5,213.0,1
Maria,generous,direct,2,tracer_tok,False,5.0,53.0,1
Maria,generous,direct,4,baseline,False,9.5,67.0,0
Maria,generous,direct,4,trait_tok,False,320.5,262.5,1
Maria,generous,direct,4,tracer_tok,False,7.5,65.0,1
Maria,generous,direct,7,baseline,False,11.5,80.0,0
Maria,generous,direct,7,trait_tok,False,308.5,232.0,1
Maria,generous,direct,7,tracer_tok,False,14.0,83.5,1
Maria,generous,direct,10,baseline,True,8.5,83.0,0
Maria,generous,direct,10,trait_tok,True,473.0,298.5,1
Maria,generous,direct,10,tracer_tok,True,6.5,73.5,1
Maria,generous,direct,30,baseline,False,3.5,32.5,0
Maria,generous,direct,30,trait_tok,False,270.0,246.0,1
Maria,generous,direct,30,tracer_tok,False,4.0,36.5,1
Nadia,brave,direct,0,baseline,False,8.5,20.5,0
Nadia,brave,direct,0,trait_tok,False,41.5,59.0,1
Nadia,brave,direct,0,tracer_tok,False,9.0,23.5,1
Nadia,brave,direct,1,baseline,False,18.5,61.0,0
Nadia,brave,direct,1,trait_tok,False,199.0,166.5,1
Nadia,brave,direct,1,tracer_tok,False,33.5,87.0,1
Nadia,brave,direct,2,baseline,False,15.5,57.0,0
Nadia,brave,direct,2,trait_tok,False,189.0,201.5,1
Nadia,brave,direct,2,tracer_tok,False,22.5,73.5,1
Nadia,brave,direct,4,baseline,False,19.5,66.0,0
Nadia,brave,direct,4,trait_tok,False,277.0,298.5,1
Nadia,brave,direct,4,tracer_tok,False,19.5,70.5,1
Nadia,brave,direct,7,baseline,False,32.0,93.5,0
Nadia,brave,direct,7,trait_tok,False,277.0,244.0,1
Nadia,brave,direct,7,tracer_tok,False,27.0,93.0,1
Nadia,brave,direct,10,baseline,True,26.0,68.5,0
Nadia,brave,direct,10,trait_tok,True,372.5,319.0,1
Nadia,brave,direct,10,tracer_tok,True,23.5,72.0,1
Nadia,brave,direct,30,baseline,False,5.0,31.0,0
Nadia,brave,direct,30,trait_tok,False,331.0,310.5,1
Nadia,brave,direct,30,tracer_tok,False,6.5,34.0,1
Simon,curious,direct,0,baseline,False,13.0,61.5,0
Simon,curious,direct,0,trait_tok,False,278.0,323.5,1
Simon,curious,direct,0,tracer_tok,False,7.5,38.5,1
Simon,curious,direct,1,baseline,False,22.0,128.5,0
Simon,curious,direct,1,trait_tok,False,374.5,386.5,1
Simon,curious,direct,1,tracer_tok,False,18.0,106.5,1
Simon,curious,direct,2,baseline,False,13.5,69.5,0
Simon,curious,direct,2,trait_tok,False,341.0,261.5,1
Simon,curious,direct,2,tracer_tok,False,11.0,62.0,1
Simon,curious,direct,4,baseline,False,27.5,60.5,0
Simon,curious,direct,4,trait_tok,False,396.5,259.0,1
Simon,curious,direct,4,tracer_tok,False,18.0,54.0,1
Simon,curious,direct,7,baseline,False,23.5,54.0,0
Simon,curious,direct,7,trait_tok,False,371.0,214.0,1
Simon,curious,direct,7,tracer_tok,False,17.0,43.5,1
Simon,curious,direct,10,baseline,True,26.0,43.5,0
Simon,curious,direct,10,trait_tok,True,472.0,202.5,1
Simon,curious,direct,10,tracer_tok,True,16.5,31.0,1
Simon,curious,direct,30,baseline,False,6.0,11.5,0
Simon,curious,direct,30,trait_tok,False,461.0,170.5,1
Simon,curious,direct,30,tracer_tok,False,5.0,9.5,1
Bruno,lazy,direct,0,baseline,False,3.0,178.5,0
Bruno,lazy,direct,0,trait_tok,False,46.5,493.0,1
Bruno,lazy,direct,0,tracer_tok,False,2.5,202.0,1
Bruno,lazy,direct,1,baseline,False,4.0,181.5,0
Bruno,lazy,direct,1,trait_tok,False,48.0,894.5,1
Bruno,lazy,direct,1,tracer_tok,False,5.0,232.0,1
Bruno,lazy,direct,2,baseline,False,4.5,217.5,0
Bruno,lazy,direct,2,trait_tok,False,84.5,1149.0,1
Bruno,lazy,direct,2,tracer_tok,False,5.0,266.0,1
Bruno,lazy,direct,4,baseline,False,7.0,198.0,0
Bruno,lazy,direct,4,trait_tok,False,183.0,1566.5,1
Bruno,lazy,direct,4,tracer_tok,False,11.0,238.5,1
Bruno,lazy,direct,7,baseline,False,9.5,184.5,0
Bruno,lazy,direct,7,trait_tok,False,186.5,1276.0,1
Bruno,lazy,direct,7,tracer_tok,False,10.0,202.0,1
Bruno,lazy,direct,10,baseline,True,3.5,164.0,0
Bruno,lazy,direct,10,trait_tok,True,217.0,1398.5,1
Bruno,lazy,direct,10,tracer_tok,True,4.0,173.5,1
Bruno,lazy,direct,30,baseline,False,2.5,160.5,0
Bruno,lazy,direct,30,trait_tok,False,187.0,1527.5,1
Bruno,lazy,direct,30,tracer_tok,False,3.5,186.0,1
Greta,dishonest,direct,0,baseline,False,12.0,64.0,0
Greta,dishonest,direct,0,trait_tok,False,2017.0,1086.5,1
Greta,dishonest,direct,0,tracer_tok,False,10.0,65.5,1
Greta,dishonest,direct,1,baseline,False,14.0,62.0,0
Greta,dishonest,direct,1,trait_tok,False,1578.5,1182.5,1
Greta,dishonest,direct,1,tracer_tok,False,17.0,71.5,1
Greta,dishonest,direct,2,baseline,False,9.5,70.0,0
Greta,dishonest,direct,2,trait_tok,False,1364.5,1397.5,1
Greta,dishonest,direct,2,tracer_tok,False,10.0,69.0,1
Greta,dishonest,direct,4,baseline,False,8.0,51.5,0
Greta,dishonest,direct,4,trait_tok,False,2031.5,1884.5,1
Greta,dishonest,direct,4,tracer_tok,False,9.5,65.0,1
Greta,dishonest,direct,7,baseline,False,8.0,43.5,0
Greta,dishonest,direct,7,trait_tok,False,2310.5,2170.0,1
Greta,dishonest,direct,7,tracer_tok,False,9.5,46.5,1
Greta,dishonest,direct,10,baseline,True,6.5,43.5,0
Greta,dishonest,direct,10,trait_tok,True,2668.5,2083.5,1
Greta,dishonest,direct,10,tracer_tok,True,6.5,53.5,1
Greta,dishonest,direct,30,baseline,False,2.5,28.0,0
Greta,dishonest,direct,30,trait_tok,False,2985.5,1584.0,1
Greta,dishonest,direct,30,tracer_tok,False,3.0,28.0,1
Marek,cowardly,direct,0,baseline,False,1.0,18.5,0
Marek,cowardly,direct,0,trait_tok,False,319.0,408.0,1
Marek,cowardly,direct,0,tracer_tok,False,7.0,64.0,1
Marek,cowardly,direct,1,baseline,False,2.0,31.5,0
Marek,cowardly,direct,1,trait_tok,False,245.0,248.0,1
Marek,cowardly,direct,1,tracer_tok,False,3.5,49.0,1
Marek,cowardly,direct,2,baseline,False,3.0,39.0,0
Marek,cowardly,direct,2,trait_tok,False,334.0,303.5,1
Marek,cowardly,direct,2,tracer_tok,False,5.5,49.5,1
Marek,cowardly,direct,4,baseline,False,7.5,97.5,0
Marek,cowardly,direct,4,trait_tok,False,670.5,590.0,1
Marek,cowardly,direct,4,tracer_tok,False,13.0,142.0,1
Marek,cowardly,direct,7,baseline,False,8.0,100.0,0
Marek,cowardly,direct,7,trait_tok,False,769.5,709.0,1
Marek,cowardly,direct,7,tracer_tok,False,17.0,143.0,1
Marek,cowardly,direct,10,baseline,True,7.5,87.0,0
Marek,cowardly,direct,10,trait_tok,True,1310.5,1004.5,1
Marek,cowardly,direct,10,tracer_tok,True,9.5,103.5,1
Marek,cowardly,direct,30,baseline,False,8.5,105.0,0
Marek,cowardly,direct,30,trait_tok,False,1525.5,1229.5,1
Marek,cowardly,direct,30,tracer_tok,False,9.5,128.5,1
