name,distance,condition,is_decision,scene_kw_out_rank,scene_kw_j_median_rank,n_scene_kw_ids
Elias,0,baseline,False,1,12.5,4
Elias,0,scene,False,348,77.5,4
Elias,1,baseline,False,1,7.0,4
Elias,1,scene,False,259,70.0,4
Elias,1,control,False,1,7.5,4
Elias,2,baseline,False,1,4.5,4
Elias,2,scene,False,278,74.0,4
Elias,2,control,False,1,5.5,4
Elias,4,baseline,False,32,31.5,4
Elias,4,scene,False,277,75.0,4
Elias,4,control,False,8,12.5,4
Elias,7,baseline,False,29,30.0,4
Elias,7,scene,False,272,73.0,4
Elias,7,control,False,11,19.0,4
Elias,10,baseline,True,32,35.5,4
Elias,10,scene,True,270,89.0,4
Elias,10,control,True,26,31.0,4
Elias,30,baseline,False,29,32.0,4
Elias,30,scene,False,304,100.5,4
Elias,30,control,False,30,31.5,4
Maria,0,baseline,False,5022,2388.0,3
Maria,0,scene,False,5710,1806.5,3
Maria,1,baseline,False,3782,1711.5,3
Maria,1,scene,False,5185,1829.0,3
Maria,1,control,False,3320,1527.0,3
Maria,2,baseline,False,3925,1618.0,3
Maria,2,scene,False,4796,1984.0,3
Maria,2,control,False,1984,731.0,3
Maria,4,baseline,False,3511,1442.0,3
Maria,4,scene,False,9733,2928.5,3
Maria,4,control,False,3473,1357.0,3
Maria,7,baseline,False,2695,1275.5,3
Maria,7,scene,False,11588,3051.5,3
Maria,7,control,False,2550,1258.0,3
Maria,10,baseline,True,2308,1310.5,3
Maria,10,scene,True,10249,2777.0,3
Maria,10,control,True,2130,1278.5,3
Maria,30,baseline,False,1882,1582.5,3
Maria,30,scene,False,10731,2354.0,3
Maria,30,control,False,1791,1608.5,3
Nadia,0,baseline,False,134,565.0,5
Nadia,0,scene,False,1134,467.0,5
Nadia,1,baseline,False,5,460.0,5
Nadia,1,scene,False,1169,489.5,5
Nadia,1,control,False,1,203.5,5
Nadia,2,baseline,False,4,253.5,5
Nadia,2,scene,False,637,568.0,5
Nadia,2,control,False,1,238.5,5
Nadia,4,baseline,False,3,178.0,5
Nadia,4,scene,False,1507,527.0,5
Nadia,4,control,False,3,196.0,5
Nadia,7,baseline,False,3,178.0,5
Nadia,7,scene,False,1722,609.5,5
Nadia,7,control,False,4,198.0,5
Nadia,10,baseline,True,2,152.0,5
Nadia,10,scene,True,1903,496.5,5
Nadia,10,control,True,2,182.0,5
Nadia,30,baseline,False,1,114.5,5
Nadia,30,scene,False,1930,294.0,5
Nadia,30,control,False,1,158.5,5
Simon,0,baseline,False,1306,1435.0,3
Simon,0,scene,False,1231,693.5,3
Simon,1,baseline,False,269,1115.0,3
Simon,1,scene,False,271,550.5,3
Simon,1,control,False,461,714.0,3
Simon,2,baseline,False,341,1479.5,3
Simon,2,scene,False,457,801.5,3
Simon,2,control,False,677,1248.5,3
Simon,4,baseline,False,481,1485.0,3
Simon,4,scene,False,411,670.5,3
Simon,4,control,False,390,817.0,3
Simon,7,baseline,False,590,1344.0,3
Simon,7,scene,False,479,749.5,3
Simon,7,control,False,646,1367.5,3
Simon,10,baseline,True,784,1466.0,3
Simon,10,scene,True,499,985.0,3
Simon,10,control,True,840,1540.5,3
Simon,30,baseline,False,720,1562.5,3
Simon,30,scene,False,341,1030.5,3
Simon,30,control,False,730,1579.0,3
Bruno,0,baseline,False,271,1885.5,3
Bruno,0,scene,False,496,2093.0,3
Bruno,1,baseline,False,90,1418.0,3
Bruno,1,scene,False,244,1564.0,3
Bruno,1,control,False,246,1521.0,3
Bruno,2,baseline,False,170,1705.5,3
Bruno,2,scene,False,237,1669.5,3
Bruno,2,control,False,255,2046.0,3
Bruno,4,baseline,False,157,1699.5,3
Bruno,4,scene,False,945,2075.5,3
Bruno,4,control,False,100,1547.5,3
Bruno,7,baseline,False,252,1991.5,3
Bruno,7,scene,False,1169,2299.5,3
Bruno,7,control,False,249,1779.5,3
Bruno,10,baseline,True,226,1928.5,3
Bruno,10,scene,True,1296,2764.5,3
Bruno,10,control,True,238,1999.5,3
Bruno,30,baseline,False,412,2047.5,3
Bruno,30,scene,False,2350,3837.0,3
Bruno,30,control,False,372,1873.5,3
Greta,0,baseline,False,280,989.5,3
Greta,0,scene,False,1550,1358.0,3
Greta,1,baseline,False,34,583.0,3
Greta,1,scene,False,558,802.0,3
Greta,1,control,False,47,889.0,3
Greta,2,baseline,False,29,612.0,3
Greta,2,scene,False,630,697.5,3
Greta,2,control,False,36,924.0,3
Greta,4,baseline,False,61,917.0,3
Greta,4,scene,False,1151,804.5,3
Greta,4,control,False,39,718.5,3
Greta,7,baseline,False,34,795.0,3
Greta,7,scene,False,1689,906.0,3
Greta,7,control,False,40,755.0,3
Greta,10,baseline,True,14,547.5,3
Greta,10,scene,True,1726,841.0,3
Greta,10,control,True,18,637.5,3
Greta,30,baseline,False,5,652.5,3
Greta,30,scene,False,1003,819.0,3
Greta,30,control,False,12,805.0,3
Marek,0,baseline,False,1,20.0,5
Marek,0,scene,False,197,262.5,5
Marek,1,baseline,False,1,40.5,5
Marek,1,scene,False,402,1099.0,5
Marek,1,control,False,1,21.5,5
Marek,2,baseline,False,1,35.5,5
Marek,2,scene,False,333,828.5,5
Marek,2,control,False,1,33.5,5
Marek,4,baseline,False,1,52.5,5
Marek,4,scene,False,271,696.0,5
Marek,4,control,False,1,41.5,5
Marek,7,baseline,False,1,56.0,5
Marek,7,scene,False,229,482.5,5
Marek,7,control,False,1,47.5,5
Marek,10,baseline,True,1,56.0,5
Marek,10,scene,True,260,439.5,5
Marek,10,control,True,1,52.5,5
Marek,30,baseline,False,1,27.0,5
Marek,30,scene,False,251,218.5,5
Marek,30,control,False,1,34.5,5
